id;name;type;discount;start
1;Maine;open-source;34788;2023-05-06T00:22:55
2;responsive Quality encoding;Bulgarian Iowa;16339;2023-05-06T09:56:25
3;reinvent Books;Adaptive Metal Borders;79998;2023-05-06T09:16:17
4;Soft Metal;Operations group Accounts;836;2023-05-06T20:19:39
5;Corporate Sports Montana;Pass Automotive;67660;2023-05-06T08:25:37
6;THX generation;payment;1728;2023-05-06T12:36:51
7;Alabama Station;program Indiana;51458;2023-05-06T00:18:32
8;Re-contextualized Orchestrator;Paradigm;44659;2023-05-06T05:55:49
9;Frozen;ability;81481;2023-05-06T06:50:32
10;quantify Shoes;Arizona systems;87363;2023-05-06T08:25:50
